This file is an ordered list of 16bit choices for a miller-rabin base to use in
conjunction with bases 2 and 15, for doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
three of the following bases: base[0]=2, base[1]=15, and
base[2]=the_listed_base_number.
The first 1000 sorted (best) 16bit choices are shown, rather than all 65536.

total pseudoprimes   base number
103882  16470
103883  58000
103883  3270
103883  2440
103884  11100
103885  610
103886  39040
103887  59048
103888  43650
103889  14500
103890  63945
103891  32405
103891  54375
103901  12474
103904  26026
103907  52728
103908  39528
103911  9882
103912  13182
103912  11640
103912  4880
103913  305
103915  19520
103915  9150
103918  2910
103920  26160
103921  46560
103921  1635
103921  1220
103922  6540
103923  35316
103925  36600
103925  8829
103929  39349
103933  14945
103936  51545
103945  59780
103961  53465
103961  38367
103968  37518
103970  14376
103970  183
103971  46848
103974  7625
103975  2928
103979  48069
103982  41175
103984  59292
103984  2464
103985  154
103985  39424
103986  732
103986  22385
103988  7700
103989  3594
103989  57504
103991  1925
103991  11712
103992  14823
103992  34650
103996  30800
103999  27936
104002  9856
104002  616
104005  1746
104007  30500
104011  28560
104014  1785
104016  7140
104018  58812
104021  14703
104024  6984
104027  64158
104031  4625
104032  59940
104034  14985
104038  9639
104040  6207
104044  38556
104047  981
104048  24828
104048  15696
104049  17136
104051  18500
104051  1071
104052  49410
104054  30927
104062  18130
104067  58860
104068  29444
104068  62784
104073  3924
104073  44200
104073  7361
104077  11050
104079  10900
104082  37752
104084  18779
104084  4284
104085  18421
104085  37422
104088  40875
104090  43600
104091  64141
104093  2725
104094  14715
104097  22542
104102  26640
104103  44650
104103  19710
104104  15250
104108  61000
104108  62856
104111  64386
104111  1665
104112  9438
104113  49050
104114  16755
104118  18537
104119  6660
104124  56835
104125  64695
104126  15714
104128  15092
104133  36375
104136  12414
104139  57661
104141  3140
104142  3773
104145  60368
104147  50240
104148  2310
104149  12560
104150  9240
104150  36960
104151  17052
104152  785
104154  24827
104156  49656
104157  16214
104160  25143
104160  64810
104160  53910
104161  10260
104161  41262
104162  20618
104164  693
104165  4263
104165  55808
104166  218
104166  44352
104167  13952
104168  46023
104171  11088
104171  3488
104172  55573
104173  39228
104173  64856
104173  872
104175  2772
104176  41040
104177  9807
104178  7154
104178  60935
104182  53802
104184  32175
104184  4122
104185  24678
104186  9152
104186  16023
104187  18380
104188  2565
104190  572
104190  13965
104192  28616
104196  55860
104196  52887
104197  23474
104198  2288
104199  52055
104199  36608
104201  143
104202  55239
104203  21110
104204  26802
104205  16488
104206  56133
104207  18997
104208  15156
104209  11424
104209  4595
104209  714
104210  29430
104211  64092
104211  15528
104212  17666
104213  2234
104213  37362
104213  35744
104215  32760
104216  26976
104217  9855
104217  47304
104218  38151
104218  6744
104219  24705
104219  52345
104220  62112
104220  1686
104221  16919
104222  11826
104222  2975
104222  3882
104222  39420
104223  2856
104223  26190
104223  46214
104224  1830
104224  19250
104225  64427
104226  4561
104226  47600
104227  53604
104227  29280
104228  7320
104228  45696
104228  31837
104229  60624
104230  50710
104231  26378
104231  13573
104231  43628
104232  8190
104234  12270
104234  6930
104235  8936
104235  54292
104237  11900
104237  30248
104237  3789
104237  26533
104237  18244
104238  4934
104238  13401
104239  7562
104240  54253
104240  19736
104241  19105
104241  26481
104241  49080
104243  47100
104249  53367
104250  10907
104250  22083
104251  30476
104252  25289
104252  9317
104253  26175
104255  33510
104256  3978
104256  37268
104257  15203
104258  63648
104259  61421
104260  7619
104261  32700
104261  22455
104264  52051
104264  27199
104265  27720
104265  56742
104267  15912
104267  14456
104267  15124
104268  37994
104268  7192
104268  60496
104268  29437
104269  37005
104269  4468
104270  122
104270  3781
104270  60812
104271  56862
104271  1952
104271  7808
104272  59705
104272  488
104273  31880
104273  31232
104273  27146
104274  53610
104274  8175
104275  46467
104276  11775
104276  17872
104277  21800
104278  20014
104278  25435
104279  1117
104281  3614
104282  21199
104283  5450
104284  43380
104284  28768
104285  46381
104286  2960
104286  43938
104286  20108
104286  57824
104286  17658
104287  40725
104287  47416
104288  2896
104290  185
104291  740
104291  7970
104292  47360
104293  52352
104293  11840
104294  61831
104294  181
104295  1798
104295  7125
104296  46336
104296  37521
104296  37340
104296  20334
104297  5718
104298  1155
104298  18480
104298  51077
104299  3272
104299  4620
104299  56715
104300  13088
104300  59575
104301  818
104301  54398
104302  7007
104302  65090
104303  32786
104303  28606
104303  9335
104304  28028
104304  45069
104305  5027
104305  45159
104305  11854
104306  51992
104306  48661
104306  21045
104307  37128
104307  28500
104308  10845
104308  31981
104308  21960
104309  1455
104309  56009
104310  23169
104310  36030
104310  29970
104310  21420
104311  35591
104311  32850
104311  11584
104312  43347
104312  22473
104312  60173
104312  724
104313  64125
104314  18277
104314  5820
104316  1140
104316  42897
104316  56677
104317  62370
104317  22872
104317  10980
104318  285
104319  9282
104319  23280
104321  12998
104321  2336
104321  41625
104321  18240
104322  146
104322  4560
104322  33957
104323  37376
104323  46378
104323  53830
104323  584
104323  36743
104324  9344
104325  5490
104325  27718
104326  53550
104327  27407
104327  56066
104327  36760
104329  26862
104330  58230
104330  39222
104330  55119
104330  57854
104331  45795
104331  38329
104331  24745
104332  31392
104332  29568
104332  9190
104332  6703
104332  238
104333  34042
104333  32703
104333  43920
104333  34447
104333  7848
104333  60928
104334  36816
104334  36337
104335  26812
104336  61795
104336  8568
104337  27450
104337  2745
104337  1848
104338  28989
104338  17252
104338  9670
104338  2142
104338  1962
104339  19010
104339  2301
104339  5355
104339  3808
