This file is an ordered list of 16bit choices for two additional miller-rabin
bases to use in conjunction with bases 2 and 15, for doing primality testing of
a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
four of the following bases: base[0]=2, base[1]=15,
base[2]=column1_base_number, and base[3]=column2_base_number.

The roughly 15000 listed base combinations are the best out of the exhaustive
list of all possible combinations of two 16bit base values (approximately 2
billion combinations all evaluated).

total pseudoprimes   base number   base number
10858  13401  37908
10858  13470  28080
10858  15028  49143
10858  15392  56628
10858  15524  53248
10858  15925  63738
10858  18772  38125
10858  19980  36517
10858  19980  48373
10858  20453  37908
10858  20784  49972
10858  20800  27010
10858  26325  27750
10858  27239  36517
10858  28033  37908
10858  28237  33813
10858  33300  43875
10858  33813  58719
10858  35557  49972
10858  36517  56277
10858  38151  40768
10858  38220  45325
10858  40284  53248
10858  42681  63700
10858  45253  57029
10858  49972  62165
10858  53248  53724
10859  13     3881
10859  13     4353
10859  13     15524
10859  13     21122
10859  13     26349
10859  13     44835
10859  195    17292
10859  208    4353
10859  208    13431
10859  208    34091
10859  208    62096
10859  476    45253
10859  555    15925
10859  555    40768
10859  637    7029
10859  637    35940
10859  780    34584
10859  832    28390
10859  925    4875
10859  962    56628
10859  1053   26973
10859  1299   12493
10859  1635   15028
10859  1776   12493
10859  1924   15028
10859  2775   43732
10859  3328   3881
10859  3328   4353
10859  3328   15524
10859  3328   21122
10859  3328   26349
10859  3328   44835
10859  3996   12493
10859  4212   48490
10859  4353   53248
10859  4995   48373
10859  5256   27508
10859  6765   33813
10859  6851   37908
10859  6907   36517
10859  8125   13431
10859  8125   53724
10859  8325   48373
10859  10192  35940
10859  10693  33813
10859  10736  11700
10859  10933  16070
10859  11100  42237
10859  11700  30184
10859  11825  45253
10859  13312  30313
10859  13431  53248
10859  15028  21312
10859  15028  23697
10859  15028  26160
10859  15028  30784
10859  15028  44955
10859  15925  35438
10859  15925  39349
10859  17292  49920
10859  17797  61047
10859  19773  49049
10859  20800  50163
10859  21312  24037
10859  21853  33300
10859  24037  46171
10859  24395  51597
10859  24400  40768
10859  26325  35478
10859  26349  53248
10859  32500  61047
10859  34091  53248
10859  36517  56295
10859  37236  46800
10859  39349  63700
10859  41443  46800
10859  50949  61893
10859  53248  62096
10860  13     4765
10860  13     53724
10860  13     62096
10860  13     64280
10860  52     33007
10860  52     34317
10860  111    49972
10860  208    4765
10860  208    21122
10860  208    26349
10860  468    28178
10860  555    63700
10860  671    11700
10860  832    30313
10860  925    32500
10860  1300   50163
10860  1755   13470
10860  1755   62197
10860  2031   10192
10860  2548   31540
10860  2775   42237
10860  2925   4765
10860  2925   17440
10860  3120   17292
10860  3120   49704
10860  3328   4765
10860  3328   53724
10860  3328   62096
10860  3328   64280
10860  3757   7696
10860  3757   44955
10860  4329   6877
10860  4329   65533
10860  4941   14157
10860  5196   49972
10860  6851   53248
10860  6877   17316
10860  7205   63700
10860  7488   55817
10860  8325   43875
10860  9015   54925
10860  9309   11700
10860  9309   46800
10860  9477   20453
10860  9477   53137
10860  9733   33813
10860  9990   54925
10860  11700  37236
10860  12480  34584
10860  12493  13896
10860  12493  16309
10860  12493  45325
10860  13039  45253
10860  13183  37908
10860  13312  33007
10860  13312  34317
10860  15028  37121
10860  15925  27250
10860  15925  33601
10860  17797  57442
10860  18300  56628
10860  18717  19773
10860  19764  56628
10860  19764  65533
10860  20943  49972
10860  21122  53248
10860  22021  54925
10860  24037  56277
10860  26862  37908
10860  27239  63700
10860  28080  53880
10860  28416  49972
10860  29952  55817
10860  31540  40768
10860  38907  63700
10860  39528  61893
10860  39627  42237
10860  42237  44042
10860  42237  44400
10860  43668  45253
10860  43732  44400
10860  43732  64280
10860  49972  63936
10860  63700  64935
10861  13     13431
10861  13     16070
10861  52     28390
10861  52     34091
10861  111    12493
10861  117    55817
10861  148    43875
10861  195    49704
10861  208    6851
10861  208    64280
10861  325    27010
10861  333    24037
10861  481    9555
10861  481    60112
10861  1090   2925
10861  1332   24037
10861  2548   38151
10861  2684   11700
10861  2925   28390
10861  2925   37236
10861  2925   41443
10861  3328   13431
10861  3328   16070
10861  3594   5733
10861  3848   14157
10861  3996   18772
10861  3996   49972
10861  4212   11988
10861  4693   38125
10861  4765   53248
10861  4875   14800
10861  5200   27010
10861  5220   45253
10861  5733   57504
10861  5733   58201
10861  6851   9477
10861  7020   13470
10861  7205   15925
10861  7215   21853
10861  7381   33813
10861  7488   28178
10861  7696   9555
10861  8124   40768
10861  8125   46750
10861  8125   59200
10861  8880   15925
10861  9477   12534
10861  9477   13183
10861  10192  32496
10861  10933  64307
10861  11100  43732
10861  11700  17440
10861  11700  42944
10861  11988  28080
10861  12493  20784
10861  12493  22710
10861  12493  28416
10861  13312  28390
10861  13312  34091
10861  14157  61568
10861  15028  28237
10861  15925  17309
10861  15925  19764
10861  15925  23569
10861  15984  18772
10861  17440  46800
10861  18772  63936
10861  19764  42237
10861  19764  63700
10861  26805  42237
10861  26973  56355
10861  27404  37908
10861  28390  46800
10861  28860  39325
10861  31117  54925
10861  36517  53465
10861  37888  43875
10861  37908  42038
10861  37908  53137
10861  40189  45253
10861  40768  44013
10861  43361  45253
10861  43732  47952
10861  45253  59200
10861  48951  63700
10861  53248  64280
10862  13     10071
10862  13     40284
10862  37     43875
10862  52     4765
10862  52     21122
10862  117    28178
10862  195    4323
10862  208    16070
10862  208    30184
10862  244    36517
10862  555    37908
10862  592    43875
10862  832    10736
10862  832    21122
10862  832    34091
10862  832    34317
10862  832    40906
10862  832    57339
10862  832    64280
10862  999    12493
10862  1090   11700
10862  1090   46800
10862  1332   43732
10862  1755   11988
10862  1755   53880
10862  1872   28178
10862  1872   55817
10862  2368   43875
10862  2548   35940
10862  2686   9477
10862  2925   9309
10862  2925   30184
10862  2925   64280
10862  3328   10071
10862  3328   40284
10862  3594   22932
10862  3757   27336
10862  3848   56628
10862  4212   24245
10862  4323   49920
10862  4765   13312
10862  4875   59200
10862  4941   42237
10862  4995   36517
10862  5196   12493
10862  5328   24037
10862  5733   8954
10862  7020   53880
10862  7381   21853
10862  7381   22932
10862  7488   44546
10862  7616   45253
10862  7696   15028
10862  8880   37908
10862  8880   63700
10862  9472   43875
10862  9477   27404
10862  9477   52732
10862  10192  31540
10862  10527  43732
10862  10736  46800
10862  11700  40284
10862  11988  17797
10862  12493  15984
10862  12493  56277
10862  12493  62165
10862  13312  21122
10862  13431  32500
10862  14800  32500
10862  15925  47100
10862  16070  53248
10862  16848  26973
10862  16848  28860
10862  17316  65533
10862  18790  40768
10862  19773  45983
10862  22932  57504
10862  24050  56628
10862  26325  44546
10862  28178  29952
10862  30184  53248
10862  32500  53724
10862  33813  49415
10862  38961  49972
10862  49704  49920
10862  51597  58201
10862  56628  61568
10862  63939  65533
10863  13     17412
10863  13     24274
10863  13     43606
10863  52     17021
10863  52     40906
10863  52     57339
10863  61     36517
10863  119    45253
10863  208    17412
10863  208    24274
10863  208    26175
10863  208    30911
10863  333    43732
10863  333    51597
10863  481    3757
10863  555    9477
10863  637    2775
10863  637    8985
10863  637    11100
10863  671    832
10863  671    46800
10863  832    4765
10863  962    51597
10863  1300   61471
10863  2031   40768
10863  2220   37908
10863  2368   48373
10863  2548   8124
10863  2548   18790
10863  2664   37908
10863  2925   4360
10863  2997   4212
10863  2997   43732
10863  3120   4323
10863  3328   17412
10863  3328   24274
10863  3328   43606
10863  3474   49972
10863  3700   4875
10863  3757   10460
10863  3904   36517
10863  4212   47952
10863  4360   11700
10863  4477   61893
10863  4995   58357
10863  5368   65533
10863  5733   29524
10863  7029   10192
10863  7215   39325
10863  7546   11700
10863  8125   31117
10863  8880   9477
10863  8985   10192
10863  9639   58357
10863  10071  11700
10863  10192  38151
10863  10460  60112
10863  10917  45253
10863  11700  30911
10863  11700  62177
10863  11700  64280
10863  12493  20943
10863  13183  43732
10863  13312  17021
10863  13312  40906
10863  13312  57339
10863  15392  51597
10863  16317  18772
10863  17412  53248
10863  18759  45253
10863  21312  43732
10863  22710  49972
10863  24050  61893
10863  24274  53248
10863  26175  53248
10863  27508  63945
10863  28080  62197
10863  29524  54925
10863  30184  46800
10863  30464  45253
10863  30911  53248
10863  31117  32500
10863  32369  33813
10863  33813  54813
10863  35940  40768
10863  36517  62464
10863  37908  52732
10863  40768  56677
10863  42108  43732
10863  43875  49704
10863  46800  64280
10863  49972  55584
10863  58201  58357
10863  63700  63738
10864  13     6851
10864  13     30184
10864  13     40906
10864  52     64280
10864  195    34584
10864  208    40906
10864  208    43606
10864  592    48373
10864  637    31540
10864  637    44400
10864  832    16070
10864  832    17021
10864  832    17440
10864  999    49972
10864  1904   45253
10864  2220   9477
10864  2548   8985
10864  2548   22385
10864  2548   56677
10864  2775   10192
10864  2925   19928
10864  2925   40073
10864  2925   62177
10864  3328   6851
10864  3328   30184
10864  3328   40906
10864  3700   32500
10864  4360   46800
10864  4477   17797
10864  4693   16317
10864  4941   17797
10864  4941   65533
10864  5328   43732
10864  6540   15028
10864  8954   22932
10864  9477   42038
10864  9477   52523
10864  10071  65533
10864  10192  11100
10864  10933  13183
10864  11700  19928
10864  11700  40073
10864  12231  61893
10864  12493  60391
10864  13312  64280
10864  13505  19773
10864  14157  19764
10864  15028  27596
10864  15028  63698
10864  15616  36517
10864  15925  23125
10864  15925  24007
10864  15984  49972
10864  16070  43732
10864  16317  26325
10864  16848  48490
10864  17797  47905
10864  18759  28717
10864  19060  46800
10864  19773  56131
10864  20800  61471
10864  21853  25012
10864  21853  64307
10864  28717  39146
10864  29952  35478
10864  32496  40768
10864  34584  49920
10864  35520  37908
10864  40073  46800
10864  40284  65533
10864  40906  53248
10864  42237  56277
10864  43606  53248
10864  43732  52732
10864  46716  54925
10865  52     16070
10865  148    48373
10865  208    7546
10865  208    27404
10865  208    62177
10865  468    44546
10865  481    15028
10865  637    32666
10865  637    38151
10865  832    1090
10865  832    4360
10865  832    19573
10865  1332   51597
10865  1635   8125
10865  1635   32500
10865  1872   35478
10865  2031   2548
10865  2686   37908
10865  2925   7546
10865  2925   10736
10865  2925   16070
10865  3120   12426
10865  3757   39586
10865  3848   51597
10865  5328   51597
10865  5733   35816
10865  6253   21853
10865  6540   8125
10865  7020   11988
10865  7546   53248
10865  8125   26160
10865  8125   40293
10865  8325   60112
10865  8985   40768
10865  9477   35520
10865  9477   42976
10865  10071  46800
10865  10192  44400
10865  10736  13312
10865  10788  45253
10865  11096  22932
10865  11700  12137
10865  11700  16070
10865  12493  62530
10865  13312  16070
10865  13357  56355
10865  13431  43732
10865  13896  49972
10865  14157  24050
10865  15925  17316
10865  15925  34953
10865  15925  55541
10865  15925  64718
10865  16070  46800
10865  17908  61893
10865  18772  65268
10865  19773  63541
10865  19928  46800
10865  19980  58357
10865  22385  40768
10865  22932  54994
10865  23125  63180
10865  24037  30843
10865  24037  39386
10865  25012  33813
10865  26160  32500
10865  26325  28860
10865  26775  45253
10865  27404  53248
10865  28717  33487
10865  28717  64258
10865  32079  48373
10865  32666  40768
10865  32700  43732
10865  33300  60112
10865  35557  65533
10865  37888  48373
10865  37908  42624
10865  40284  46800
10865  40768  59338
10865  42573  45253
10865  43732  45061
10865  43732  53724
10865  45253  50533
10865  46800  62177
10865  49972  62530
10865  51597  61568
10865  53248  62177
10865  53428  56355
10866  13     26175
10866  13     30911
10866  37     19500
10866  52     10736
10866  52     17440
10866  52     18618
10866  117    35478
10866  208    4360
10866  208    17440
10866  549    21853
10866  637    18790
10866  671    2925
10866  671    13312
10866  832    2684
10866  832    42944
10866  1053   7215
10866  1053   48490
10866  1300   4995
10866  1300   40106
10866  1872   2686
10866  1872   42976
10866  1924   38220
10866  2196   21853
10866  2368   33813
10866  2548   26487
10866  2548   32496
10866  2548   50409
10866  2548   59338
10866  2925   10071
10866  2925   12137
10866  2925   40284
10866  3120   34584
10866  3328   26175
10866  3328   30911
10866  3757   6834
10866  3757   14121
10866  3757   56484
10866  4212   7215
10866  4360   53248
10866  4693   65268
10866  4995   20800
10866  5733   33601
10866  6292   53428
10866  6540   32500
10866  6877   19764
10866  6877   41905
10866  7215   26325
10866  7546   46800
10866  8325   33813
10866  8784   21853
10866  9472   19500
10866  9477   29542
10866  10192  18790
10866  10192  63398
10866  10933  52732
10866  11700  26349
10866  11700  28390
10866  11700  41443
10866  12493  62572
10866  13080  60112
10866  13312  17440
10866  13312  18618
10866  13357  17797
10866  14121  60112
10866  15028  54390
10866  15925  48951
10866  17440  53248
10866  17797  17908
10866  18618  53248
10866  18681  45253
10866  19764  27508
10866  20800  40106
10866  21312  51597
10866  21312  58357
10866  21853  35136
10866  22932  26729
10866  22932  56277
10866  24007  63700
10866  26487  40768
10866  27250  63700
10866  27336  60112
10866  30784  38220
10866  35964  42237
10866  37908  57918
10866  38556  58357
10866  40906  46800
10866  45061  60112
10866  49972  62572
10866  56484  60112
10867  13     7546
10867  13     53655
10867  37     48373
10867  52     671
10867  52     1090
10867  52     4360
10867  52     19573
10867  117    44546
10867  148    33813
10867  195    12426
10867  208    1090
10867  208    18618
10867  208    53655
10867  637    63398
10867  780    47824
10867  832    18618
10867  832    26175
10867  976    36517
10867  1090   13312
10867  1090   53248
10867  1300   19980
10867  1332   58357
10867  2548   32578
10867  2548   32666
10867  2548   36403
10867  2684   46800
10867  2727   3757
10867  2925   12155
10867  2925   40906
10867  2997   17797
10867  2997   28080
10867  3328   7546
10867  3328   53655
10867  3757   27596
10867  3757   43632
10867  4360   13312
10867  5733   7381
10867  6253   33813
10867  6899   15028
10867  7020   62197
10867  7400   19773
10867  7400   60112
10867  8325   21853
10867  9472   48373
10867  9477   35770
10867  9477   50136
10867  10192  53309
10867  10309  36517
10867  10527  10933
10867  10933  53724
10867  11100  40768
10867  11775  15925
10867  12137  46800
10867  12426  49920
10867  12480  47824
10867  12493  44040
10867  13312  19573
10867  15643  49972
10867  15925  16798
10867  17797  19764
10867  17797  47952
10867  17797  61443
10867  19980  20800
10867  21853  23569
10867  21853  26714
10867  21853  42533
10867  22932  33875
10867  22932  35816
10867  23125  45253
10867  23595  32269
10867  28080  47952
10867  28420  42237
10867  28717  31117
10867  29952  44546
10867  32500  53149
10867  32578  40768
10867  33813  37888
10867  34953  63700
10867  35367  49972
10867  36403  40768
10867  36517  47298
10867  42944  46800
10867  44040  49972
10867  45253  60538
10867  48924  61893
10867  48966  61893
10867  49191  54925
10867  49972  60391
10867  53248  53655
10867  56410  65533
10868  13     4360
10868  13     17440
10868  13     27404
10868  13     34317
10868  13     50065
10868  13     62177
10868  111    56355
10868  195    47824
10868  208    10736
10868  208    19928
10868  208    34317
10868  333    58357
10868  481    38220
10868  592    19500
10868  592    21853
10868  637    41568
10868  637    53309
10868  780    2989
10868  780    11956
10868  1755   2997
10868  1755   40293
10868  1755   47952
10868  1776   56355
10868  1850   19773
10868  1850   42237
10868  1850   60112
10868  2368   21853
10868  2548   7885
10868  2548   11100
10868  2664   9477
10868  2697   45253
10868  2775   40768
10868  2925   30911
10868  2989   12480
10868  3328   4360
10868  3328   17440
10868  3328   27404
10868  3328   34317
10868  3328   50065
10868  3328   62177
10868  3757   6899
10868  3757   7400
10868  3757   45061
10868  3757   54390
10868  3757   60885
10868  4212   25036
10868  4353   11700
10868  4693   50149
10868  4941   27508
10868  5733   56277
10868  7104   56355
10868  7105   42237
10868  7400   15028
10868  7696   38220
10868  7885   40768
10868  8991   42237
10868  9477   10744
10868  9477   35557
10868  9477   57918
10868  10031  61893
10868  10736  53248
10868  10933  13431
10868  11700  19060
10868  11700  50241
10868  11956  12480
10868  12493  15643
10868  12493  25211
10868  12493  38961
10868  12493  41625
10868  14430  33813
10868  15925  39146
10868  15925  45675
10868  17629  21853
10868  21853  24050
10868  22932  33601
10868  23569  63700
10868  23595  40293
10868  24037  39119
10868  24309  49972
10868  27596  60112
10868  28080  40293
10868  28416  56355
10868  28717  48172
10868  32500  59200
10868  33300  33813
10868  34317  53248
10868  35438  63700
10868  36517  50710
10868  36517  54900
10868  37908  42976
10868  38907  49972
10868  39586  60112
10868  40768  44400
10868  40768  50409
10868  40768  63398
10868  43152  45253
10868  43875  44955
10868  49972  53465
10868  51038  65533
10869  13     1090
10869  13     10736
10869  13     18618
10869  13     19928
10869  13     33007
10869  13     50241
10869  37     33813
10869  52     26175
10869  117    2686
10869  117    42976
10869  195    2989
10869  208    671
10869  444    56355
10869  468    35478
10869  637    36403
10869  671    53248
10869  925    58357
10869  1053   11988
10869  1090   3328
10869  1850   3757
10869  1850   15028
10869  1872   44546
10869  2548   2775
10869  2548   41568
10869  2548   44400
10869  2615   3757
10869  2615   60112
10869  2684   13312
10869  2686   29952
10869  2727   60112
10869  2925   19060
10869  3328   10736
10869  3328   18618
10869  3328   19928
10869  3328   33007
10869  3328   50241
10869  3700   58357
10869  3757   8325
10869  3757   13080
10869  3757   33300
10869  3757   41840
10869  4353   46800
10869  4477   37908
10869  4941   6877
10869  5328   58357
10869  5733   9335
10869  5733   37340
10869  6292   13357
10869  6899   60112
10869  7020   40293
10869  7154   37908
10869  7488   35478
10869  7885   10192
10869  9472   33813
10869  10192  32666
10869  10192  41568
10869  10933  42108
10869  10933  58201
10869  11679  54925
10869  11700  12155
10869  11700  19573
10869  11700  40906
10869  12043  28717
10869  13312  26175
10869  13312  42944
10869  13875  37908
10869  15028  39586
10869  15925  51809
10869  19773  29600
10869  19928  53248
10869  20880  45253
10869  22021  32500
10869  23125  63700
10869  24037  25835
10869  26325  55023
10869  27508  41905
10869  27508  56277
10869  28130  42237
10869  28616  37908
10869  29952  42976
10869  30911  46800
10869  32500  49442
10869  37908  52523
10869  37908  59882
10869  40768  41568
10869  41840  60112
10869  42685  48373
10869  43632  60112
10869  45253  52156
10869  47100  63700
10869  49972  64225
10869  54390  60112
10869  60112  60885
10870  13     671
10870  13     19060
10870  52     2684
10870  52     42944
10870  52     53655
10870  148    21853
10870  185    48373
10870  195    11956
10870  208    50065
10870  208    50241
10870  208    57339
10870  592    33813
10870  671    3328
10870  832    19928
10870  832    31771
10870  832    50065
10870  1305   45253
10870  1591   28717
10870  2548   53309
10870  2548   62754
10870  2684   2925
10870  2774   22932
10870  2925   42944
10870  2925   50241
10870  3328   19060
10870  4263   42237
10870  4477   9477
10870  5733   14376
10870  5733   39413
10870  6834   60112
10870  7020   47952
10870  7154   9477
10870  7215   16848
10870  8222   61893
10870  9477   28616
10870  9477   42624
10870  10200  21853
10870  10744  37908
10870  11700  21122
10870  11700  48548
10870  11700  57232
10870  12155  46800
10870  12426  43875
10870  12493  15261
10870  12493  64225
10870  12534  37908
10870  13312  53655
10870  14500  45253
10870  15028  25179
10870  15028  33300
10870  15028  45061
10870  15795  23125
10870  16848  36571
10870  18772  26973
10870  19500  33300
10870  19773  19980
10870  21853  37888
10870  22932  27195
10870  22932  38634
10870  22932  44384
10870  23794  36517
10870  26325  44955
10870  28420  45253
10870  29600  60112
10870  32888  61893
10870  33601  63700
10870  33813  35964
10870  33813  57720
10870  34622  65533
10870  36060  54925
10870  38891  54925
10870  40768  53309
10870  42451  65533
10870  46800  50241
10870  48373  65409
10870  50065  53248
10870  50241  53248
10870  53248  57339
10870  63700  64718
10871  37     21853
10871  52     19060
10871  52     30911
10871  52     31771
10871  208    19060
10871  208    33007
10871  637    7885
10871  780    50314
10871  832    53655
10871  1053   2997
10871  1053   47952
10871  1300   1813
10871  1300   7252
10871  1332   27508
10871  1813   5200
10871  2548   63398
10871  2727   15028
10871  2925   4353
10871  2925   48548
10871  2925   48620
10871  2997   7020
10871  3120   47824
10871  3270   60112
10871  3757   22078
10871  3757   25179
10871  3757   29600
10871  4575   14157
10871  8125   22021
10871  8325   15028
10871  9335   22932
10871  9472   21853
10871  9477   59135
10871  10192  36403
10871  11700  53853
10871  11988  16848
10871  12480  50314
10871  12493  14985
10871  12493  53465
10871  13165  65533
10871  13312  19060
10871  13312  30911
10871  13312  31771
10871  14121  15028
10871  14376  22932
10871  15028  29600
10871  15028  43632
10871  15028  56484
10871  15925  16354
10871  15925  62088
10871  16319  33813
10871  16848  24245
10871  17021  53248
10871  17316  63700
10871  18218  54925
10871  19485  49972
10871  19773  48790
10871  21853  56277
10871  22350  33813
10871  25456  28717
10871  26325  65268
10871  31335  43732
10871  33007  53248
10871  33300  54925
10871  33813  36942
10871  37908  45325
10871  43732  58201
10871  45325  56355
10871  46250  58357
10871  47360  48373
10871  47824  49920
10871  52320  60112
10871  55541  63700
10871  60112  63698
10872  52     11592
10872  52     38907
10872  52     46368
10872  117    14430
10872  117    16317
10872  117    57720
10872  148    19500
10872  208    17021
10872  208    46368
10872  325    1813
10872  325    4995
10872  637    2598
10872  637    32578
10872  637    62754
10872  832    19060
10872  1053   11674
10872  1053   36571
10872  1300   14771
10872  1300   29008
10872  1797   5733
10872  1813   20800
10872  1850   51597
10872  1872   14430
10872  1872   16317
10872  1872   57720
10872  1924   12493
10872  2368   19500
10872  2925   4982
10872  2925   26349
10872  2960   48373
10872  2989   3120
10872  2989   49920
10872  3577   11700
10872  3757   63698
10872  4821   65533
10872  5200   7252
10872  5200   29008
10872  5200   50163
10872  5733   11096
10872  7252   20800
10872  7400   51597
10872  7488   14430
10872  8125   53149
10872  8156   58357
10872  9477   15626
10872  9477   59882
10872  9491   21853
10872  10192  26487
10872  10527  28717
10872  10933  45061
10872  10933  60889
10872  11305  24037
10872  11592  13312
10872  11700  48620
10872  11700  54508
10872  11956  43875
10872  12493  59940
10872  12493  60173
10872  13312  46368
10872  14157  57720
10872  14430  29952
10872  14800  58357
10872  14985  49972
10872  15626  37908
10872  15925  55865
10872  16317  29952
10872  16798  63700
10872  17052  42237
10872  17309  63700
10872  17908  37908
10872  18759  21853
10872  19060  53248
10872  19500  37888
10872  19773  54020
10872  21312  27508
10872  22078  60112
10872  22385  58357
10872  22932  37340
10872  22932  39413
10872  22932  43206
10872  24975  56355
10872  25169  36517
10872  25179  60112
10872  25974  33813
10872  29600  42237
10872  29952  57720
10872  32500  40293
10872  33300  45253
10872  35557  37908
10872  35557  51597
10872  36517  64882
10872  41625  49972
10872  43875  47824
10872  45253  58782
10872  45675  63700
10872  46800  48548
10872  58357  59200
10873  13     57339
10873  52     19928
10873  52     50065
10873  61     18772
10873  208    2684
10873  208    11592
10873  208    42944
10873  244    4693
10873  244    18772
10873  325    7252
10873  325    19980
10873  325    29008
10873  325    50163
10873  468    1748
10873  468    14430
10873  637    30465
10873  740    48373
10873  1053   24245
10873  1748   1872
10873  2368   54925
10873  2368   60112
10873  2548   2598
10873  2548   31377
10873  2598   10192
10873  2598   40768
10873  2684   53248
10873  2925   34091
10873  2989   43875
10873  2997   16848
10873  3120   11956
10873  3328   57339
10873  3848   42237
10873  3904   4693
10873  3904   18772
10873  4693   62464
10873  4982   46800
10873  4995   5200
10873  5200   40106
10873  5733   20406
10873  5733   27195
10873  5733   28752
10873  6540   24037
10873  7488   57720
10873  8103   37908
10873  8175   43732
10873  8325   19500
10873  8325   45253
10873  9477   17908
10873  9477   25301
10873  10192  32578
10873  10226  33813
10873  10460  15028
10873  11700  17412
10873  11700  18277
10873  11956  49920
10873  12480  44955
10873  12493  19485
10873  12493  30784
10873  12493  35367
10873  12493  61044
10873  13312  19928
10873  13312  38907
10873  14771  20800
10873  15028  34153
10873  15028  60885
10873  15392  42237
10873  15925  54085
10873  15925  59575
10873  16848  47952
10873  16956  22932
10873  18410  24037
10873  18772  62464
10873  19773  53946
10873  19773  58201
10873  20800  29008
10873  21853  29345
10873  22932  33644
10873  24037  45220
10873  29600  51597
10873  33813  47138
10873  34091  46800
10873  37908  55500
10873  40358  51597
10873  42237  61568
10873  42944  53248
10873  45253  50156
10873  46368  53248
10873  49549  65533
10873  51275  61893
10873  54925  64030
10874  13     2684
10874  13     17021
10874  13     42944
10874  13     46368
10874  37     60112
10874  52     50241
10874  61     4693
10874  148    54925
10874  148    60112
10874  325    40106
10874  333    27508
10874  468    27968
10874  468    57720
10874  637    10527
10874  637    31377
10874  780    44955
10874  832    30911
10874  832    38907
10874  832    53853
10874  962    42237
10874  1053   1924
10874  1053   30784
10874  1053   46696
10874  1748   29952
10874  1797   22932
10874  1872   6992
10874  1872   27968
10874  1924   4212
10874  1924   49972
10874  2220   19500
10874  2684   3328
10874  2925   19573
10874  2925   21122
10874  3270   3757
10874  3328   17021
10874  3328   42944
10874  3328   46368
10874  3757   52320
10874  4212   21966
10874  4212   30784
10874  4212   36571
10874  4693   26973
10874  4982   11700
10874  5200   19980
10874  7205   11700
10874  9109   19773
10874  9477   43272
10874  9477   62504
10874  10192  10527
10874  10933  32700
10874  11592  53248
10874  11700  17021
10874  11700  49049
10874  11700  50120
10874  11700  53655
10874  11775  63700
10874  11840  48373
10874  12493  14762
10874  12493  48543
10874  13312  50065
10874  13312  50241
10874  14157  22423
10874  14392  58357
10874  15261  49972
10874  15616  18772
10874  15925  58299
10874  17439  36517
10874  17797  59044
10874  18739  36517
10874  18772  63455
10874  19500  35520
10874  19573  46800
10874  19773  22021
10874  21122  46800
10874  21853  37964
10874  22423  56628
10874  23697  60112
10874  24037  35557
10874  25211  49972
10874  26538  60112
10874  27508  38900
10874  36517  63429
10874  37340  51597
10874  37888  54925
10874  37888  60112
10874  37908  62504
10874  37908  63702
10874  40768  62754
10874  43090  65533
10874  45253  56277
10874  46800  48620
10874  47952  61893
10874  56277  58357
10875  13     11592
10875  13     31771
10875  52     2898
10875  52     12155
10875  117    1748
10875  208    31771
10875  555    24037
10875  592    60112
10875  637    26487
10875  832    11592
10875  832    46368
10875  832    49049
10875  832    50241
10875  925    17797
10875  976    18772
10875  1053   21966
10875  1525   60112
10875  1748   7488
10875  1872   10744
10875  2039   58357
10875  2548   26973
10875  2686   7488
10875  2898   13312
10875  2925   7205
10875  2925   21966
10875  2925   49049
10875  3328   11592
10875  3328   31771
10875  3757   23697
10875  3757   26538
10875  3757   34154
10875  4212   6253
10875  4212   11674
10875  4575   56628
10875  4693   15616
10875  5733   38634
10875  5733   43206
10875  6100   60112
10875  6292   22593
10875  6877   28937
10875  6877   56277
10875  6992   29952
10875  7205   46800
10875  7381   37908
10875  7400   42237
10875  7488   42976
10875  8325   58357
10875  8411   22932
10875  8880   19500
10875  8880   24037
10875  9472   60112
10875  9477   13875
10875  9803   65533
10875  10192  50409
10875  10192  62754
10875  10933  32079
10875  11100  60112
10875  11700  13627
10875  11700  30431
10875  11700  35513
10875  12155  13312
10875  12539  45253
10875  13039  15028
10875  14063  43732
10875  14157  33705
10875  14761  17797
10875  15925  35964
10875  17238  36517
10875  17412  46800
10875  17908  36517
10875  18695  33813
10875  18759  27508
10875  18772  50149
10875  19764  36517
10875  21853  39551
10875  21853  40800
10875  21966  46800
10875  22932  28752
10875  24037  26160
10875  25435  37908
10875  26349  46800
10875  27968  29952
10875  31771  53248
10875  32079  43732
10875  32079  65533
10875  37908  50136
10875  37908  58898
10875  39670  48373
10875  40124  61893
10875  41832  61893
10875  44900  54925
10875  45253  48711
10875  45253  54597
10875  46800  50065
10875  48373  53724
10875  48373  64427
10875  49972  59940
10875  51597  54232
10875  52660  65533
10875  56628  57720
10876  52     30431
10876  52     49049
10876  52     53853
10876  117    6992
10876  117    27968
10876  208    2898
10876  325    14771
10876  437    1872
10876  468    2686
10876  468    16317
10876  468    42976
10876  468    59135
10876  637    26973
10876  832    19739
10876  832    30431
10876  832    34769
10876  976    4693
10876  1480   15925
10876  1525   3757
10876  1924   16848
10876  2368   45253
10876  2550   21853
10876  2997   61893
10876  3120   44955
10876  3625   45253
10876  3757   6100
10876  3757   10908
10876  3757   11100
10876  3757   13039
10876  3757   34153
10876  4212   25012
10876  4212   46696
10876  4212   48951
10876  4477   36517
10876  4693   63455
10876  5200   49049
10876  5328   27508
10876  5401   49972
10876  5733   26729
10876  7381   9477
10876  7488   27968
