This file is an ordered list of 16bit choices for two additional miller-rabin
bases to use in conjunction with bases 2 and 15, for doing primality testing of
a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to all
four of the following bases: base[0]=2, base[1]=15,
base[2]=column1_base_number, and base[3]=column2_base_number.

The roughly 15000 listed base combinations are the best out of the exhaustive
list of all possible combinations of two 16bit base values (approximately 2
billion combinations all evaluated).

total pseudoprimes   base number   base number
10740  925    1872
10740  1776   33813
10740  3328   49704
10740  3757   62197
10740  15028  40293
10740  17292  53248
10740  28416  33813
10740  30784  65533
10741  444    33813
10741  1872   14800
10741  1872   57472
10741  1924   24037
10741  9335   10192
10741  13431  37908
10742  13     12426
10742  117    925
10742  117    57472
10742  208    49704
10742  832    17292
10742  832    49704
10742  925    29952
10742  1813   15925
10742  3328   12426
10742  7696   65533
10742  10192  37340
10742  24037  30784
10742  27508  40293
10742  29952  57472
10742  36517  40293
10742  46800  49704
10742  49704  53248
10743  52     17292
10743  117    14800
10743  208    12426
10743  468    3592
10743  637    9335
10743  832    12426
10743  1872   14368
10743  2925   12426
10743  3592   7488
10743  4477   63700
10743  10933  19573
10743  12426  46800
10743  12426  53248
10743  12493  58201
10743  13312  17292
10743  14800  29952
10743  22932  38367
10743  44469  49972
10744  52     49704
10744  117    14368
10744  637    37340
10744  898    1872
10744  2925   49704
10744  7252   63700
10744  7696   24037
10744  11700  12426
10744  11700  49704
10744  12200  12493
10744  13312  49704
10744  14368  29952
10744  14985  15925
10744  15925  29008
10744  31117  43732
10745  52     12426
10745  117    898
10745  898    29952
10745  4693   19573
10745  12426  13312
10745  15925  38961
10745  40293  58357
10746  468    57472
10746  481    24037
10746  1872   3700
10746  4693   53724
10746  7488   57472
10746  10933  31117
10746  12200  49972
10746  37908  53724
10746  38961  63700
10746  42772  48373
10747  925    7488
10747  1872   59200
10747  6877   40293
10747  12493  44469
10747  14985  63700
10747  15925  59940
10747  18772  19573
10747  18772  53724
10748  117    3700
10748  468    925
10748  1813   63700
10748  3700   29952
10748  7488   14800
10748  11988  19773
10748  36517  37717
10749  117    59200
10749  468    14368
10749  468    14800
10749  925    33813
10749  5733   38367
10749  7488   14368
10749  12493  48800
10749  14800  33813
10749  26973  28717
10749  29952  59200
10750  468    898
10750  898    7488
10750  3050   12493
10750  7215   48373
10750  7696   48373
10750  11988  21853
10750  22932  31117
10750  29008  63700
10751  1332   54925
10751  2997   21853
10751  3700   7488
10751  11700  17292
10751  13875  51597
10751  14430  15925
10751  15392  28717
10751  15925  18759
10751  15925  57720
10751  18772  23125
10751  19573  43732
10751  28860  48373
10751  53946  54925
10751  59940  63700
10752  13     4323
10752  468    3700
10752  3328   4323
10752  7488   59200
