This file is an ordered list of all 16bit choices for a miller-rabin base to use
in conjunction with base 2, when doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to both of
the following bases: base[0]=2 and base[1]=the_listed_base_number.

total pseudoprimes   base number
1297428  62976
1297429  3936
1297432  15744
1297440  984
1297459  6264
1297474  25056
1297476  1566
1297489  18421
1297613  39528
1297642  9882
1297730  23912
1297732  5978
1297809  14625
1297816  26000
1297836  64538
1297844  1625
1297886  6500
1297901  58500
1297974  27904
1297976  27450
1297977  109
1297991  1744
1297994  4350
1298019  436
1298023  6976
1298050  35258
1298091  17400
1298113  16940
1298139  4160
1298145  260
1298145  16640
1298145  65
1298149  1040
1298164  4235
1298176  30
1298184  7680
1298206  480
1298239  8829
1298248  35316
1298257  12740
1298306  38115
1298317  120
1298323  30720
1298339  40071
1298342  1920
1298348  3185
1298356  50960
1298499  35840
1298500  140
1298531  560
1298534  2240
1298575  8960
1298582  35
1298616  50286
1298689  12200
1298692  18750
1298701  56376
1298725  3050
1298733  20618
1298763  14094
1298769  48800
1298811  34104
1298817  8526
1298849  39150
1298855  24525
1298863  53802
1298915  28665
1298916  18785
1298952  9360
1298952  10900
1298953  9720
1298953  2340
1298956  58835
1298966  585
1298987  37440
1299023  1260
1299033  38880
1299038  20160
1299042  5040
1299044  315
1299046  2430
1299078  62814
1299118  21875
1299126  43600
1299137  59048
1299138  14762
1299139  15696
1299140  981
1299156  2725
1299159  39349
1299212  3924
1299215  62784
1299257  29406
1299266  32079
1299297  122
1299299  31232
1299339  40460
1299346  1952
1299349  7808
1299362  488
1299375  5915
1299379  10115
1299413  57661
1299419  5265
1299422  48069
1299463  23660
1299475  54665
1299475  4320
1299477  21060
1299479  270
1299482  50255
1299576  1080
1299577  17280
1299581  19926
1299605  31501
1299696  23520
1299718  1470
1299728  5880
1299753  14000
1299757  875
1299763  29435
1299788  12054
1299793  3500
1299802  60750
1299802  61740
1299811  8856
1299819  56000
1299832  43320
1299838  48216
1299843  2784
1299857  44544
1299861  174
1299862  15435
1299864  10830
1299889  11100
1299899  44400
1299900  11136
1299901  35424
1299905  48951
1299909  2214
1299911  2775
1299941  696
1299944  22176
1299944  23465
1299949  29766
1299950  5544
1299953  1386
1299958  40625
1299979  444
1299983  1776
1299984  7104
1299990  111
1299997  3630
1300002  28416
1300022  47385
1300030  58080
1300066  47915
1300106  14520
1300127  31460
1300148  25230
1300159  7865
1300169  5341
1300210  62465
1300230  21364
1300253  11495
1300260  34385
1300282  45980
1300285  63936
1300288  7695
1300291  18515
1300299  30780
1300331  3996
1300350  10985
1300351  43940
1300364  15870
1300365  999
1300366  15984
1300376  31500
1300385  27455
1300393  7875
1300431  32670
1300434  27440
1300440  1715
1300448  6860
1300454  33635
1300468  21870
1300468  63480
1300533  8991
1300545  35964
1300599  750
1300599  50540
1300601  34680
1300603  12635
1300607  2835
1300610  28830
1300618  12000
1300625  11340
1300631  45360
1300635  48000
1300647  3000
1300695  25515
1300705  8670
1300710  32850
1300819  13680
1300821  855
1300830  21375
1300861  53235
1300862  24975
1300863  3420
1300880  36750
1300881  54720
1300883  53724
1300937  52920
1300946  13230
1300948  26871
1300964  18759
1300965  55350
1301007  21756
1301022  13431
1301042  16055
1301042  64715
