This file is an ordered list of all 16bit choices for a miller-rabin base to use
in conjunction with base 2, when doing primality testing of a 64 bit value.
The list is sorted by how many 64 bit values are strong pseudoprimes to both of
the following bases: base[0]=2 and base[1]=the_listed_base_number.

total pseudoprimes   base number
1311832  56929
1311832  38344
1311832  33744
1311832  5267
1311832  36110
1311832  32631
1311832  10645
1311832  51202
1311832  21190
1311832  12863
1311832  18382
1311832  59968
1311832  63693
1311832  35420
1311832  7437
1311832  9387
1311832  16927
1311833  18208
1311833  51151
1311833  35462
1311833  52247
1311833  7825
1311833  63296
1311833  46824
1311833  52959
1311833  15275
1311833  51495
1311833  26381
1311833  36104
1311833  63247
1311833  33035
1311833  24072
1311833  10162
1311834  17917
1311834  49333
1311834  44411
1311834  8138
1311834  55551
1311834  3067
1311834  5193
1311834  63706
1311834  6060
1311834  63648
1311834  11138
1311834  49957
1311834  28155
1311834  49208
1311834  56683
1311834  34903
1311834  54840
1311834  9937
1311835  45030
1311835  8359
1311835  16722
1311835  8831
1311835  46956
1311835  16728
1311835  17275
1311835  23398
1311835  19982
1311835  23496
1311835  33429
1311835  23021
1311835  27952
1311835  52241
1311835  21191
1311835  25076
1311836  42664
1311836  38446
1311836  63930
1311836  14424
1311836  3978
1311836  49665
1311836  10483
1311836  45874
1311836  44164
1311836  63389
1311836  38290
1311836  62415
1311836  36144
1311836  34672
1311836  59464
1311836  16889
1311836  14869
1311836  63678
1311837  29254
1311837  64660
1311837  2389
1311837  5098
1311837  15095
1311837  43293
1311837  24829
1311837  30843
1311837  28923
1311837  45238
1311837  59072
1311837  24056
1311837  18927
1311837  13642
1311837  47016
1311838  6817
1311838  38749
1311838  41285
1311838  11828
1311838  18034
1311838  40842
1311838  39908
1311838  9586
1311838  15749
1311838  38583
1311838  57548
1311838  49995
1311838  35044
1311839  64789
1311839  22566
1311839  29208
1311839  61193
1311839  8413
1311839  65408
1311839  12444
1311839  57833
1311839  49919
1311839  62506
1311839  4378
1311839  33781
1311839  42155
1311839  1747
1311839  36921
1311839  14843
1311839  56091
1311839  11874
1311839  28539
1311839  41274
1311839  32174
1311839  35926
1311839  16909
1311839  47414
1311840  27114
1311840  35467
1311840  32322
1311840  27519
1311840  63248
1311840  14078
1311840  48613
1311840  62571
1311840  30187
1311840  20523
1311840  45787
1311840  41007
1311840  39833
1311840  50174
1311840  16439
1311840  15966
1311840  8953
1311840  52691
1311841  58894
1311841  13637
1311841  17853
1311841  39748
1311841  12603
1311841  10446
1311841  10778
1311841  58541
1311841  56512
1311841  10661
1311841  63937
1311841  30791
1311841  43375
1311841  27846
1311841  44791
1311841  36220
1311841  3421
1311841  23437
1311841  710
1311841  21530
1311841  24213
1311842  7302
1311842  60710
1311842  33979
1311842  8635
1311842  15787
1311842  3692
1311842  3133
1311842  14526
1311842  50711
1311842  37543
1311842  36417
1311842  47102
1311842  1976
1311842  26331
1311843  40670
1311843  2259
1311843  32977
1311843  11739
1311843  20134
1311843  33617
1311843  233
1311843  43447
1311843  46504
1311843  49273
1311843  51865
1311843  25718
1311843  55661
1311843  11626
1311843  7589
1311843  20702
1311843  49578
1311843  12302
1311843  43999
1311843  47149
1311843  43721
1311843  11078
1311843  11148
1311843  15904
1311843  58627
1311843  4358
1311844  20593
1311844  50801
1311844  50307
1311844  929
1311844  56201
1311844  20271
1311844  4441
1311844  42264
1311844  3183
1311844  10846
1311844  29939
1311844  59648
1311844  48507
1311844  38867
1311844  16236
1311844  48460
1311844  65356
1311844  8560
1311844  57123
1311845  35539
1311845  14864
1311845  994
1311845  22639
1311845  7455
1311845  57673
1311845  64750
1311845  62979
1311845  50482
1311845  52444
1311845  50073
1311846  26179
1311846  34343
1311846  30892
1311846  24527
1311846  58138
1311846  17578
1311846  30744
1311846  6719
1311846  34542
1311846  21369
1311846  46137
1311846  11001
1311846  45516
1311846  35743
1311846  65131
1311847  40431
1311847  57616
1311847  56954
1311847  44349
1311847  61299
1311847  23781
1311847  17099
1311847  17157
1311847  41308
1311847  6434
1311847  26191
1311847  56872
1311847  58704
1311847  10430
1311847  6826
1311847  11676
1311847  43374
1311847  43084
1311847  65479
1311847  23058
1311847  55241
1311847  61962
1311848  57538
1311848  27995
1311848  51166
1311848  1597
1311848  26682
1311848  42340
1311848  8042
1311848  12988
1311848  45753
1311848  36244
1311848  55637
1311848  37746
1311848  36627
1311848  6677
1311848  17890
1311849  38928
1311849  33752
1311849  42480
1311849  9354
1311849  15524
1311849  37765
1311849  47689
1311849  6635
1311849  682
1311849  33960
1311849  16117
1311849  15573
1311850  13404
1311850  13263
1311850  64734
1311850  34635
1311850  30689
1311850  23743
1311850  29451
1311850  43289
1311850  30076
1311850  25737
1311850  45624
1311850  2433
1311850  9109
1311850  29129
1311850  55290
1311850  52641
1311850  3155
1311850  21109
1311850  51512
1311850  42770
1311850  61306
1311850  7759
1311850  44742
1311850  50928
1311850  34502
1311851  15535
1311851  61372
1311851  39870
1311851  36785
1311851  54488
1311851  59422
1311851  1831
1311851  2655
1311851  26294
1311851  26377
1311851  11014
1311851  15916
1311851  19027
1311851  46738
1311851  29373
1311851  46111
1311851  49100
1311851  14218
1311851  48386
1311851  63976
1311851  50128
1311852  3529
1311852  21441
1311852  42976
1311852  6693
1311852  25006
1311852  13169
1311852  9137
1311852  62960
1311852  18715
1311852  61039
1311852  20276
1311852  11672
1311852  2686
1311852  64541
1311852  12532
1311852  24350
1311853  57835
1311853  44143
1311853  9974
1311853  42335
1311853  25305
1311853  55313
1311853  63053
1311853  54647
1311853  39991
1311853  6266
1311853  14070
1311853  20275
1311853  44631
1311853  535
1311853  36631
1311853  25221
1311853  63881
1311853  54162
1311853  37349
1311853  22373
1311853  39398
1311853  36436
1311853  5204
1311854  28895
1311854  12950
1311854  26245
1311854  39591
1311854  41769
1311854  6562
1311854  21539
1311854  22363
1311854  31616
1311854  25993
1311854  54348
1311854  40006
1311854  17055
1311854  41461
1311854  57696
1311854  11406
1311854  29507
1311854  33760
1311854  9548
1311855  5963
1311855  25775
1311855  8590
1311855  7518
1311855  9436
1311855  13133
1311855  52455
1311855  53616
1311855  53592
1311855  3197
1311855  6531
1311855  13883
1311855  27286
1311855  38675
1311855  21963
1311855  61489
1311855  42687
1311855  2110
1311855  28645
1311855  17285
1311856  11155
1311856  43118
1311856  45440
1311856  6164
1311856  38178
1311856  23855
1311856  43634
1311856  54155
1311856  9746
1311856  33533
1311856  8479
1311856  49310
1311856  61177
1311856  28921
1311856  36127
1311856  23943
1311857  41934
1311857  44592
1311857  51339
1311857  14255
1311857  40848
1311857  35589
1311857  21412
1311857  51501
1311857  65467
1311857  57203
1311857  36630
1311857  35254
1311857  50934
1311857  42298
1311857  26915
1311857  49986
1311857  60718
1311858  31656
1311858  22826
1311858  8225
1311858  59907
1311858  2569
1311858  46091
1311858  50293
1311858  40927
1311858  35731
1311858  5627
1311858  50105
1311858  12732
1311858  13106
1311858  50115
1311858  59306
1311859  42462
1311859  63812
1311859  60905
1311859  2919
1311859  18467
1311859  17254
1311859  32168
1311859  8440
1311859  15613
1311859  17897
1311859  39932
1311859  65237
1311859  54696
1311859  63235
1311859  29386
1311859  5470
1311859  47305
1311860  30356
1311860  24338
1311860  31878
1311860  65325
1311860  3288
1311860  40233
1311860  28439
1311860  13837
1311860  2351
1311860  51215
1311860  5105
1311860  8486
1311860  57879
1311860  46082
1311860  47065
1311861  61413
1311861  9969
1311861  9877
1311861  32196
1311861  57553
1311861  56998
1311861  32909
1311861  20462
1311861  46545
1311861  1773
1311861  29569
1311861  9147
1311861  7747
1311861  55592
1311861  23150
1311861  22369
1311861  55939
1311861  50513
1311862  18668
1311862  15148
1311862  53518
1311862  33853
1311862  60351
1311862  20541
1311862  54736
1311862  15022
1311862  31709
1311862  37859
1311862  63359
1311862  34155
1311862  34313
1311862  41431
1311862  2787
1311862  21422
1311862  19938
1311863  62844
1311863  46381
1311863  10040
1311863  58101
1311863  33608
1311863  15412
1311863  49761
1311863  57958
1311863  1423
1311863  5223
1311863  49836
1311863  51796
1311863  7407
1311863  3351
1311863  18109
1311863  43703
1311863  45361
1311863  57921
1311863  39365
1311863  24509
1311863  19184
1311863  49217
1311863  41687
1311863  61682
1311863  24602
1311863  22316
1311864  22181
1311864  44267
1311864  60666
1311864  35606
1311864  1785
1311864  20601
1311864  9003
1311864  29628
1311864  16162
1311864  34522
1311864  40646
1311864  45473
1311864  14290
1311864  32102
1311864  24011
1311864  3956
1311864  34360
1311865  2387
1311865  33067
1311865  17432
1311865  65211
1311865  62811
1311865  8490
1311865  25370
1311865  25037
1311865  24301
1311865  28232
1311865  8876
1311865  57794
1311865  18956
1311865  18969
1311865  19536
1311865  50819
1311865  53052
1311866  39923
1311866  22274
1311866  35925
1311866  55755
1311866  39595
1311866  36236
1311866  35575
1311866  50993
1311866  21469
1311866  8797
1311866  10914
1311866  4088
1311866  50062
1311866  42842
1311866  33026
1311866  6057
1311866  25507
1311866  47844
1311867  3959
1311867  46138
1311867  6933
1311867  35852
1311867  41071
1311867  53566
1311867  24179
1311867  28927
1311867  1515
1311867  52129
1311867  37616
1311867  5393
1311867  62792
1311867  44796
1311867  11330
1311868  25052
1311868  44303
1311868  48833
1311868  53706
1311868  15443
1311868  22508
1311868  10387
1311868  15658
1311868  62266
1311868  39381
1311868  35382
1311868  3941
1311868  12837
1311868  10925
1311868  37695
1311868  2840
1311868  15990
1311868  53512
1311868  35454
1311868  3953
1311868  21113
1311868  50659
1311868  11668
1311869  39987
1311869  32120
1311869  4229
1311869  48580
1311869  1221
1311869  56399
1311869  30355
1311869  12742
1311869  4882
1311869  20420
1311869  9727
1311869  45563
1311869  31300
1311869  40784
1311869  23287
1311869  31555
1311869  13449
1311870  9166
1311870  21167
1311870  53796
1311870  56363
1311870  41330
1311870  35374
1311870  55556
1311870  63234
1311870  26545
1311870  59775
1311870  38399
1311870  48879
1311870  23649
1311870  23234
1311870  63344
1311870  29296
1311870  43202
1311870  30197
1311870  56312
1311870  50377
1311870  38959
1311871  29461
1311871  49324
1311871  15897
1311871  13822
1311871  51711
1311871  23285
1311871  63522
1311871  34340
1311871  3749
1311871  33883
1311871  52172
1311872  49711
1311872  17057
1311872  28935
1311872  55887
1311872  5692
1311872  12561
1311872  5608
1311872  44963
1311872  62145
1311872  59984
1311872  40299
1311872  1081
1311872  65412
1311873  6507
1311873  10912
1311873  38984
1311873  35854
1311873  6614
1311873  38869
1311873  899
1311873  21321
1311873  42292
1311873  60739
1311873  22797
1311873  44981
1311873  8438
1311873  11981
1311873  53990
1311873  31230
1311873  14097
1311873  42979
1311873  22927
1311873  60269
1311873  29544
1311874  43547
1311874  7904
1311874  4324
1311874  54041
1311874  30729
1311874  11343
1311874  45078
1311874  5305
1311874  59015
1311874  12949
1311875  55689
1311875  13543
1311875  63289
1311875  35577
1311875  59896
1311875  38734
1311875  45705
1311875  30713
1311875  31101
1311875  24313
1311875  15711
1311875  23213
1311875  40851
1311875  44827
1311875  32369
1311875  54826
1311875  51178
1311875  50896
1311876  5714
1311876  3693
1311876  58529
1311876  22894
1311876  39579
1311876  64494
1311876  22387
1311876  2957
1311876  28658
1311876  49448
1311876  3532
1311876  62385
1311876  26798
1311876  11419
1311876  40122
1311876  36795
1311876  46642
1311876  26258
1311876  11701
1311876  53025
1311876  9457
1311876  28574
1311877  11360
1311877  53715
1311877  16302
1311877  16460
1311877  23770
1311877  57263
1311877  14879
1311877  58348
1311877  25777
1311877  13494
1311877  17965
1311877  53810
1311877  44374
1311877  7528
1311877  61083
1311877  5874
1311877  25581
1311878  23598
1311878  18215
1311878  2465
1311878  17296
1311878  38192
1311878  28001
1311878  58801
1311878  45372
1311878  56464
1311878  40110
1311878  37410
1311878  22768
1311878  24781
1311879  65450
1311879  26772
1311879  23065
1311879  25821
1311879  26235
1311879  33818
1311879  40806
1311879  31530
1311879  40403
1311879  14179
1311879  22980
1311879  63742
1311879  50244
1311879  61356
1311879  64968
1311879  26028
1311880  52051
1311880  33997
1311880  17046
1311880  52388
1311880  39376
1311880  28427
1311880  17329
1311880  6504
1311880  48337
1311880  22910
1311880  12855
1311880  26990
1311880  51420
1311881  36445
1311881  43063
1311881  29474
1311881  25593
1311881  4709
1311881  32306
1311881  57733
1311881  36530
1311881  33730
1311881  53722
1311881  13097
1311881  30421
1311881  16482
1311881  27387
1311881  63588
1311882  25840
1311882  62096
1311882  56731
1311882  65136
1311882  35071
1311882  7140
1311882  38501
1311882  28977
1311882  48162
1311882  63611
1311882  41375
1311882  14702
1311882  43323
1311882  8049
1311883  2553
1311883  50486
1311883  55372
1311883  28368
1311883  48350
1311883  7576
1311883  46107
1311883  11183
1311883  31351
1311883  49243
1311883  60136
1311883  24240
1311883  24294
1311884  4836
1311884  15824
1311884  44823
1311884  35812
1311884  21555
1311884  13378
1311884  51993
1311884  2461
1311884  29418
1311884  4552
1311884  59946
1311884  4059
1311884  4842
1311884  46704
1311884  31737
1311884  33477
1311884  59085
1311884  50047
1311884  45066
1311884  56846
1311885  37841
1311885  33305
1311885  42131
1311885  3669
1311885  35082
1311885  63614
1311885  55590
1311885  17293
1311886  2549
1311886  39440
1311886  35590
1311886  50431
1311886  65161
1311886  23852
1311886  54366
1311886  35931
1311886  10003
1311886  50532
1311886  54914
1311886  20820
1311886  36122
1311886  55748
1311886  64583
1311886  28651
1311886  47015
1311886  15953
1311886  34246
1311887  989
1311887  22155
1311887  1729
1311887  11199
1311887  28011
1311887  36294
1311887  49218
1311887  41618
1311887  41800
1311887  42620
1311887  13843
1311887  33467
1311887  59253
1311887  49776
1311887  22873
1311887  46570
1311887  1115
1311887  39033
1311887  35190
1311887  6781
1311887  57998
1311888  6349
1311888  26940
1311888  26708
1311888  56434
1311888  10651
1311888  50603
1311888  26614
1311888  48226
1311888  31978
1311888  23888
1311888  1199
1311888  13111
1311889  3935
1311889  60093
1311889  11707
1311889  42993
1311889  1401
1311889  32035
1311889  14826
1311889  61460
1311889  28793
1311889  25736
1311889  22056
1311889  27368
1311889  53849
1311889  52933
1311889  27664
1311889  37527
1311889  23132
1311889  22742
1311889  32989
1311889  27230
1311890  23215
1311890  60774
1311890  11837
1311890  24306
1311890  55595
1311890  23661
1311890  17687
1311890  39859
1311890  2510
1311890  25036
1311890  56437
1311890  44097
1311890  9739
1311890  16651
1311890  27033
1311890  56815
1311890  7058
1311890  3881
1311890  35188
1311890  53698
1311890  12687
1311890  9977
1311891  21910
1311891  62140
1311891  23070
1311891  3763
1311891  42574
1311891  37398
1311891  49537
1311891  44861
1311891  64806
1311891  54913
1311891  14387
1311891  60955
1311891  45243
1311891  3247
1311891  20652
1311891  23170
1311891  35911
1311891  6697
1311891  55066
1311892  20138
1311892  4825
1311892  10408
1311892  8963
1311892  48340
1311892  55326
1311892  45435
1311892  25396
1311892  8855
1311892  58837
1311892  64944
1311892  7519
1311892  28529
1311892  20237
1311892  47846
1311892  36588
1311892  16242
1311892  49803
1311892  58118
1311892  38525
1311892  14116
1311892  33453
1311893  11287
1311893  54237
1311893  62292
1311893  15365
1311893  42074
1311893  56081
1311893  49904
1311893  40160
1311893  42994
1311893  1615
1311893  35506
1311893  63960
1311893  27874
1311893  12945
1311893  6842
1311893  35532
1311893  20446
1311893  26761
1311893  33639
1311893  22416
1311893  35379
1311893  46916
1311894  36012
1311894  48404
1311894  20596
1311894  61913
1311894  17764
1311894  46425
1311894  15836
1311894  13669
1311894  7324
1311895  3119
1311895  57542
1311895  35166
1311895  62065
1311895  38567
1311895  27407
1311895  21759
1311895  3934
1311895  56046
1311895  22995
1311895  43281
1311895  64226
1311895  17821
1311895  45148
1311895  37851
1311895  44327
1311895  30406
1311895  51730
1311895  909
1311895  45498
1311895  34950
1311895  29912
1311895  15339
1311895  28023
1311895  25945
1311895  49762
1311895  4984
1311895  16586
1311896  41863
1311896  63154
1311896  55883
1311896  56127
1311896  42275
1311896  60063
1311896  52608
1311896  10585
1311896  59151
1311896  65173
1311896  46310
1311896  26876
1311896  30030
1311896  31669
1311896  21730
1311896  57551
1311897  57911
1311897  55218
1311897  11754
1311897  51148
1311897  16430
1311897  26409
1311897  24872
1311897  38977
1311897  61648
1311897  7785
1311897  28471
1311897  2359
1311897  34906
1311897  48155
1311897  23135
1311897  59835
1311897  28560
1311897  22851
1311897  5604
1311897  3961
1311897  59088
1311897  18733
1311897  25807
1311898  59476
1311898  55575
1311898  20785
1311898  14454
1311898  19528
1311898  27323
1311898  47346
1311898  14772
1311898  25217
1311898  40012
1311898  39164
1311898  57803
1311898  60404
1311898  12145
1311898  3853
1311898  5814
1311898  3976
1311899  63099
1311899  37921
1311899  43590
1311899  5421
1311899  10023
1311899  55863
1311899  51276
1311899  33410
1311899  8899
1311899  23013
1311899  25430
1311899  49125
1311899  46461
1311899  58330
1311899  29266
1311900  53386
1311900  26629
1311900  63403
1311900  48443
1311900  15071
1311900  41255
1311900  41720
1311900  5641
1311900  32777
1311900  63708
1311900  12268
1311900  49177
1311900  3142
1311900  16802
1311900  54513
1311900  41889
1311900  38909
1311901  53960
1311901  59810
1311901  53389
1311901  43138
1311901  9026
1311901  59996
1311901  51878
1311901  51314
1311901  8499
1311901  27584
1311901  36883
1311901  59270
1311901  58711
1311901  51510
1311901  29109
1311901  57796
1311901  31755
1311901  60838
1311902  64235
1311902  54670
1311902  65410
1311902  3181
1311902  7478
1311902  58849
1311902  56038
1311902  31267
1311902  30694
1311902  39616
1311902  32838
1311902  59314
1311902  48743
1311902  34014
1311902  49737
1311902  40859
1311902  57816
1311902  55737
1311902  42534
1311902  57043
1311902  41825
1311903  50904
1311903  53283
1311903  34492
1311903  62411
1311903  39822
1311903  1493
1311903  59134
1311903  2954
1311903  62295
1311903  58778
1311903  14676
1311903  42321
1311904  64518
1311904  56725
1311904  54911
1311904  34827
1311904  27268
1311904  46804
1311904  10258
1311904  5149
1311904  39284
1311904  22137
1311904  64648
1311904  41023
1311904  19931
1311904  26206
1311904  18567
1311904  8284
1311904  25045
1311904  9342
1311904  18880
1311905  6598
1311905  36094
1311905  49714
1311905  36812
1311905  8452
1311905  7567
1311905  24335
1311905  38544
1311905  58171
1311905  12476
1311905  42604
1311905  33047
1311905  40903
1311905  57758
1311906  58739
1311906  8193
1311906  4739
1311906  4071
1311906  55439
1311906  37690
1311906  27056
1311906  9831
1311906  33944
1311906  6785
1311906  20962
1311906  58386
1311906  61807
1311906  60100
1311906  27732
1311906  15025
1311906  494
1311906  57020
1311906  40970
1311907  7241
1311907  53937
1311907  50782
1311907  36971
1311907  3111
1311907  62631
1311907  41239
1311907  6298
1311907  9829
1311907  49221
1311907  36820
1311907  52719
1311907  46163
1311907  5228
1311907  15911
1311908  40372
1311908  63590
1311908  26707
1311908  35596
1311908  21453
1311908  15304
1311908  41242
1311908  58452
1311908  13398
1311908  63288
1311908  51817
1311908  27830
1311908  14351
1311908  11570
1311908  18448
1311909  15928
1311909  11977
1311909  34956
1311909  10228
1311909  51657
1311909  34895
1311909  63864
1311909  37947
1311909  26016
1311909  61036
1311909  31373
1311909  2476
1311909  6259
1311909  19501
1311909  17502
1311909  27677
1311910  34443
1311910  26797
1311910  39896
1311910  47426
1311910  38921
1311910  39810
1311910  53231
1311910  51889
1311910  9466
1311910  23993
1311910  57627
1311910  57532
1311910  52229
1311911  5637
1311911  7819
1311911  14544
1311911  17756
1311911  14549
1311911  47099
1311911  55215
1311911  26439
1311911  62771
1311911  18798
1311911  37744
1311911  48759
1311911  41164
1311911  26488
1311911  34819
1311911  48745
1311911  55025
1311911  56633
1311912  43751
1311912  57881
1311912  27022
1311912  56651
1311912  12757
1311912  48715
1311912  41991
1311912  40633
1311912  42718
1311912  61436
1311912  37192
1311912  14384
1311912  46946
1311912  25391
1311912  19368
1311912  22548
1311912  57105
1311912  20672
1311912  21398
1311912  26321
1311912  59304
1311912  50660
1311912  55172
1311912  14613
1311912  25632
1311912  28443
1311912  28517
1311912  14763
1311913  8548
1311913  24655
1311913  56279
1311913  24303
1311913  26392
1311913  47843
1311913  64922
1311913  3636
1311913  9318
1311913  55631
1311913  44898
1311913  60208
1311913  34824
1311914  619
1311914  46544
1311914  25278
1311914  61882
1311914  38827
1311914  60938
1311914  9036
1311914  22327
1311914  1602
1311914  44610
1311914  61574
1311915  30988
1311915  65208
1311915  19007
1311915  57927
1311915  55666
1311915  6408
1311915  39324
1311915  28181
1311915  46140
1311915  7836
1311915  60411
1311915  55321
1311915  21880
1311915  17210
1311915  41425
1311915  40631
1311915  59166
1311915  12423
1311915  46672
1311916  32894
1311916  17841
1311916  19012
1311916  64841
1311916  41066
1311916  32342
1311916  36698
1311916  38502
1311916  9203
1311916  4986
1311916  27046
1311916  57895
1311916  39316
1311916  18394
1311916  60898
1311916  56590
1311916  52194
1311916  61581
1311916  466
1311916  8623
1311917  22152
1311917  33346
1311917  24479
1311917  17619
1311917  18105
1311917  2909
1311917  29886
1311917  40966
1311917  51180
1311917  29588
1311917  43324
1311917  8014
1311917  58406
1311917  24998
1311917  39747
1311917  58098
1311918  54746
1311918  30821
1311918  9904
1311918  2219
1311918  15927
1311918  18618
1311918  63616
1311918  45885
1311918  27762
1311918  63803
1311918  39876
1311918  56746
1311918  26248
1311918  41022
1311919  57698
1311919  987
1311919  38965
1311919  34574
1311919  44188
1311919  8958
1311919  1724
1311919  22386
1311919  43038
1311919  47781
1311919  16916
1311919  23471
1311919  27333
1311919  24390
1311919  47439
1311919  57537
1311919  47941
1311919  61097
1311919  59943
1311920  7091
1311920  14705
1311920  39151
1311920  27969
1311920  24522
1311920  62452
1311920  43777
1311920  4796
1311920  8151
1311920  25732
1311920  5234
1311920  47716
1311920  22380
1311920  34531
1311920  22699
1311920  28112
1311921  34240
1311921  26213
1311921  49441
1311921  15011
1311921  50324
1311921  54701
1311921  22159
1311921  42234
1311921  4589
1311921  30268
1311921  24149
1311922  36372
1311922  33561
1311922  20638
1311922  23053
1311922  39205
1311922  24085
1311922  29378
1311922  42193
1311922  59527
1311922  27741
1311922  36118
1311922  23655
1311922  19310
1311922  21006
1311922  28704
1311922  27422
1311922  28062
1311922  26338
1311923  34455
1311923  16363
1311923  45120
1311923  11535
1311923  19219
1311923  35652
1311923  59983
1311923  32403
1311923  36974
1311923  34129
1311923  7124
1311923  25466
1311923  47908
1311923  5560
1311923  3596
1311923  28169
1311923  61119
1311924  51254
1311924  7481
1311924  21228
1311924  35947
1311924  34674
1311924  7456
1311924  24327
1311924  40601
1311924  34361
1311924  63376
1311924  61772
1311924  61478
1311924  34183
1311924  51615
1311924  52162
1311925  5847
1311925  3979
1311925  58176
1311925  28388
1311925  4737
1311925  51249
1311925  64601
1311925  54806
1311925  43183
1311925  40427
1311925  22549
1311925  17840
1311925  6218
1311925  9298
1311925  36202
1311925  31457
1311926  1514
1311926  16534
1311926  23392
1311926  58066
1311926  60655
1311926  23731
1311926  25098
1311926  15764
1311926  51073
1311926  2728
1311926  36926
1311926  34808
1311926  18137
1311926  22739
1311926  32251
1311926  34088
1311926  61701
1311926  11516
1311927  12108
1311927  18644
1311927  55397
1311927  35304
1311927  61575
1311927  28364
1311927  49573
1311927  32606
1311927  45853
1311927  37834
1311927  43329
1311927  33873
1311927  22365
1311927  63715
1311927  10142
1311928  1626
1311928  31060
1311928  1691
1311928  23388
1311928  59993
1311928  7746
1311928  60439
1311928  41104
1311928  13928
1311928  13274
1311928  32337
1311928  29181
1311928  60974
1311928  19043
1311928  12819
1311928  12568
1311928  28781
1311928  61382
1311928  63582
1311928  65513
1311928  58954
1311928  57404
1311928  45391
1311929  21887
1311929  38914
1311929  29924
1311929  8706
1311929  50330
1311929  51155
1311929  51028
1311929  64517
1311929  16028
1311929  34169
1311929  17455
1311929  52738
1311929  50748
1311929  26456
1311929  24228
1311929  51126
1311929  57802
1311929  52355
1311929  49328
1311929  20365
1311930  55446
1311930  58253
1311930  52338
1311930  33412
1311930  49295
1311930  18813
1311930  53712
1311930  37548
1311930  29469
1311930  31610
1311930  16609
1311930  37617
1311930  21506
1311931  41489
1311931  13435
1311931  12013
1311931  46828
1311931  24224
1311931  62185
1311931  10220
1311931  47264
1311931  25513
1311931  3083
1311931  1541
1311931  33332
1311931  33973
1311932  50162
1311932  24922
1311932  23866
1311932  50289
1311932  51356
1311932  14229
1311932  36343
1311932  55829
1311932  61982
1311932  3027
1311932  55614
1311932  41138
1311932  2409
1311932  59236
1311933  35504
1311933  56365
1311933  20282
1311933  63664
1311933  18282
1311933  36859
1311933  47367
1311933  1794
1311933  57079
1311933  42580
1311933  28621
1311933  21220
1311933  36874
1311933  23890
1311933  15813
1311933  58315
1311933  36733
1311933  64353
1311933  12795
1311933  9413
1311933  39201
1311934  42212
1311934  41709
1311934  14383
1311934  25772
1311934  36761
1311934  53807
1311934  41306
1311934  52643
1311934  5399
1311934  6961
1311934  9860
1311934  32552
1311934  20816
1311934  11413
1311934  17166
1311934  33269
1311934  18065
1311935  14488
1311935  15792
1311935  9471
1311935  18643
1311935  45264
1311935  53998
1311935  31973
1311935  63252
1311935  58036
1311935  30984
1311935  16845
1311935  63058
1311935  43087
1311935  45371
1311935  63980
1311935  42627
1311935  19597
1311935  55671
1311936  40614
1311936  32736
1311936  60394
1311936  16469
1311936  25467
1311936  33983
1311936  8998
1311936  59000
1311936  998
1311936  12955
1311936  63433
1311936  51800
1311936  30654
1311936  6916
1311936  27798
1311936  39698
1311936  6443
1311936  11188
1311936  24359
1311936  11847
1311936  13833
1311936  46211
1311936  22361
1311936  21029
1311936  34758
1311936  29329
1311936  44433
1311937  7807
1311937  758
1311937  33837
1311937  8739
1311937  25296
1311937  62489
1311937  46627
1311937  51226
1311937  47169
1311937  19300
1311937  9445
1311937  19550
1311937  46558
1311937  12128
1311937  19544
1311937  9528
1311937  21251
1311937  51118
1311937  2140
1311937  6735
1311937  49922
1311937  20786
1311938  6764
1311938  11047
1311938  36519
1311938  23256
1311938  55035
1311938  54129
1311938  1153
1311938  40266
1311938  50164
1311938  15359
1311938  17361
1311938  61790
1311938  12596
1311938  6822
1311938  15719
1311939  63718
1311939  5579
1311939  2820
1311939  7395
1311939  6863
1311939  50522
1311939  23346
1311939  61046
1311939  56916
1311939  65228
1311939  55481
1311939  5205
1311939  25325
1311939  48258
1311939  60227
1311939  21245
1311939  30846
1311940  14691
1311940  37368
1311940  29962
1311940  41762
1311940  55018
1311940  55831
1311940  7914
1311940  35404
1311940  50191
1311940  48432
1311940  4753
1311940  46674
1311941  43381
1311941  27253
1311941  35370
1311941  7258
1311941  19892
1311941  2046
1311941  64112
1311941  31369
1311941  36507
1311942  47902
1311942  14543
1311942  8506
1311942  59730
1311942  9328
1311942  24656
1311942  42644
1311942  27294
1311942  60080
1311942  26479
1311942  1292
1311942  5307
1311942  10450
1311942  64362
1311942  62487
1311942  37555
1311943  28710
1311943  19085
1311943  12633
1311943  65526
1311943  1180
1311943  31731
1311943  64153
1311943  45508
1311943  3231
1311943  58677
1311943  16814
1311943  53890
1311943  18682
1311943  39715
1311943  52598
1311943  46940
1311943  59060
1311943  60669
1311944  48873
1311944  38237
1311944  57536
1311944  2879
1311944  26889
1311944  45370
1311944  1757
1311944  29663
1311944  46341
1311944  34239
1311944  27335
1311944  51820
1311944  35992
1311944  3677
1311944  57944
1311945  55864
1311945  8568
1311945  15822
1311945  52718
1311945  13933
1311945  22093
1311945  62067
1311945  41701
1311945  1223
1311945  15101
1311945  33579
1311945  36443
1311945  6324
1311945  35832
1311945  45838
1311945  31949
1311945  51696
1311945  46651
1311945  28990
1311945  10157
1311945  11569
1311945  43301
1311946  38318
1311946  48103
1311946  42851
1311946  39890
1311946  37145
1311946  11653
1311946  55771
1311946  31548
1311946  57235
1311946  13961
1311946  20571
1311946  431
1311946  12541
1311946  50409
1311946  28727
1311946  59512
1311946  38298
